address ; port o' call
pieces of eight ; Spanish coins
doubloons ; Spanish gold coins
cutlass ; type of sword used by the pirates
coffer ; a chest full of treasure
chase gun ; a cannon at the prow, or front of a ship
cat o’ nine tails ; a whip with nine separate strands on the end
bounty ; the reward for a deed
booty ; treasure or loot
seadog ; an old sailor or pirate
privateer ; a sailor sponsored by the government, paid by what he could plunder from an enemy technically a step up from a pirate
rigging ; the lines and ropes that held the sails
poop deck ; deck that is the highest and farthest back
orlop ; lowest deck in the ship where cables are stored
old salt ; a sailor that has a great deal of experience on the seas
man o war ; the name used for a pirate ship that is heavily armed and ready for battle
Jolly Roger ; the famous pirate flag with a skull and crossbones on it
Jacob's ladder ; rope ladder that was used to climb aboard ships
head ; toilet on board the ship
freebooter ; a pirate or looter from the same origin as flibustier someone who took loot or booty
flibustier ; name for the American pirates found around the West Indies during the Golden Age of Piracy
dungbie ; rear end of the ship
duffle ; a sailor's belongings and the bag they were carried in
crow's nest ; the place on the ship where the lookout stand is built
cockswain or coxswain ; the helmsman
coaming ; a surface that prevented water on the deck from dripping to lower levels of the ship
buccaneer ; name for a pirate mainly found in the Caribbean in the 17th and 18th centuries
black jack ; a pirate flag; a large tankard
binnacle ; where the compass is kept on board the ship
bilge ; the lowest decks of the ship often filled with water.
batten down the hatches ; a signal to prepare the ship for an upcoming storm
all hands hoay ; everyone on the deck
abaft or aft ; toward the back of the boat
three sheets to the wind ; someone who is quite drunk
swashbuckler ; a daredevil
scuttlebutt ; a cask of drinking water slang for gossip
scuttle ; to sink a ship
sea legs ; when a pirate can walk comfortably on a moving ship
run a rig ; play a trick
peg leg ; a wooden leg
no prey no pay ; a pirate law meaning the crew didn't get paid but took a share of any loot
hornswaggle ; to cheat or swindle
hempen halter ; the noose used to hang people
hearties ; friends and comrades
hang the jib ; to frown or scowl
fire in the hole ; a canon that is loaded and ready to fire
feed the fish ; if you lose a sea fight your body will feed the fish
Davy Jones' locker ; mythological place at the bottom of the sea where drowned sailors were said to go
dance the hempen jig ; to be hanged
clap of thunder ; a strong alcoholic drink
cackle fruit ; hen's eggs
briney deep ; the ocean
walk the plank ; A punishment probably more myth than truth which entails making someone walk off the side of the ship along a plank The person's hands were often tied so he couldn't swim and drowned (and then fed the fish)
son of a biscuit eater ; an insult
